Date : 2024-01-11 19:15:29
Directory : c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app
Total : 152 files,  12805 codes, 3 comments, 579 blanks, all 13387 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\modules\auth\Forms\LoginForm\LoginForm.tsx                                                                          | TypeScript JSX     |         55 |          0 |          5 |         60 |
| c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\modules\auth\Forms\RegisterForm\RegisterForm.schema.ts                                                              | TypeScript         |         14 |          0 |          3 |         17 |
| c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\modules\auth\Forms\RegisterForm\RegisterForm.tsx                                                                    | TypeScript JSX     |        107 |          0 |          8 |        115 |
| c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\modules\auth\LogoutButton\LogoutButton.tsx                                                                          | TypeScript JSX     |         17 |          0 |          3 |         20 |
| c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\modules\listPage\ListInfo\ListInfo.tsx                                                                              | TypeScript JSX     |         81 |          0 |          9 |         90 |
| c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\modules\listPage\ListInfo\ListInfoSkeleton\ListInfoSkeleton.tsx                                                     | TypeScript JSX     |         20 |          0 |          2 |         22 |
| c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\modules\listPage\MoviePreview\MoviePreview.tsx                                                                      | TypeScript JSX     |         36 |          0 |          6 |         42 |
| c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\modules\listPage\MoviePreview\MoviePreviewSkeleton\MoviePreviewSkeleton.tsx                                         | TypeScript JSX     |          4 |          0 |          2 |          6 |
| c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\modules\lists\components\AddToList\AddToList.tsx                                                                    | TypeScript JSX     |         25 |          0 |          5 |         30 |
| c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\modules\lists\components\AddToList\SingleListAdd\SingleListAdd.tsx                                                  | TypeScript JSX     |         36 |          0 |          7 |         43 |
| c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\modules\lists\components\AddToList\SingleListAdd\SingleListAddSkeleton\SingleListAddSkeleton.tsx                    | TypeScript JSX     |          4 |          0 |          2 |          6 |
| c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\modules\lists\components\ListCreator\ListCreator.tsx                                                                | TypeScript JSX     |         85 |          0 |          7 |         92 |
| c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\modules\lists\components\ListPreview\ListPreview.tsx                                                                | TypeScript JSX     |         59 |          0 |          5 |         64 |
| c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\modules\lists\components\ListPreview\MoviePreviewSmall\MoviePreviewSmall.tsx                                        | TypeScript JSX     |         18 |          0 |          5 |         23 |
| c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\modules\lists\components\ListPreview\MoviePreviewSmall\MoviePreviewSmallSkeleton\MoviePreviewSmallSkeleton.tsx      | TypeScript JSX     |          4 |          0 |          2 |          6 |
| c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\modules\lists\hooks\moviesListSchema.schema.ts                                                                      | TypeScript         |         10 |          0 |          3 |         13 |
| c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\modules\lists\hooks\updateMoviesList\useAddToMoviesList\apiUseAddToMoviesList.ts                                    | TypeScript         |         33 |          0 |         10 |         43 |
| c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\modules\lists\hooks\updateMoviesList\useAddToMoviesList\useAddToMoviesList.ts                                       | TypeScript         |         23 |          0 |          3 |         26 |
| c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\modules\lists\hooks\updateMoviesList\useDeleteFromMoviesList\apiDeleteFromMoviesList.ts                             | TypeScript         |         31 |          0 |         10 |         41 |
| c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\modules\lists\hooks\updateMoviesList\useDeleteFromMoviesList\useDeleteFromMoviesList.ts                             | TypeScript         |         26 |          0 |          3 |         29 |
| c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\modules\lists\hooks\useCreateMoviesList\apiUseCreateMoviesList.ts                                                   | TypeScript         |         19 |          0 |          4 |         23 |
| c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\modules\lists\hooks\useCreateMoviesList\useCreateMoviesList.ts                                                      | TypeScript         |         28 |          0 |          3 |         31 |
| c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\modules\lists\hooks\useDeleteMoviesList\apiUseDeleteMoviesList.ts                                                   | TypeScript         |         12 |          0 |          4 |         16 |
| c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\modules\lists\hooks\useDeleteMoviesList\useDeleteMoviesList.ts                                                      | TypeScript         |         19 |          0 |          3 |         22 |
| c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\modules\lists\hooks\useGetListsByUserId\apiUseGetMoviesListsByUserId.ts                                             | TypeScript         |         14 |          0 |          4 |         18 |
| c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\modules\lists\hooks\useGetListsByUserId\useGetMoviesListsByUserId.ts                                                | TypeScript         |          9 |          0 |          2 |         11 |
| c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\modules\lists\hooks\useGetSingleListByListId\apiUseGetMoviesListByListId.ts                                         | TypeScript         |         16 |          0 |          5 |         21 |
| c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\modules\lists\hooks\useGetSingleListByListId\useGetMoviesListByListId.ts                                            | TypeScript         |          9 |          0 |          2 |         11 |
| c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\modules\moviePage\BoxOffice\BoxOffice.tsx                                                                           | TypeScript JSX     |         37 |          0 |          4 |         41 |
| c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\modules\moviePage\CreateReviewButton\CreateReviewButton.tsx                                                         | TypeScript JSX     |         13 |          0 |          3 |         16 |
| c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\modules\moviePage\FullCastContainer\FullCastContainer.tsx                                                           | TypeScript JSX     |         23 |          0 |          4 |         27 |
| c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\modules\moviePage\FullCastContainer\SingleCastBox\SingleCastBox.tsx                                                 | TypeScript JSX     |         18 |          0 |          3 |         21 |
| c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\modules\moviePage\GenreList\GenreList.tsx                                                                           | TypeScript JSX     |         17 |          0 |          4 |         21 |
| c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\modules\moviePage\GenreList\SingleGenreBox\SingleGenreBox.tsx                                                       | TypeScript JSX     |         11 |          0 |          4 |         15 |
| c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\modules\moviePage\LatestReviews\LatestReviews.tsx                                                                   | TypeScript JSX     |         33 |          0 |          5 |         38 |
| c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\modules\moviePage\MovieAwards\MovieAwardsContainer.tsx                                                              | TypeScript JSX     |         19 |          0 |          5 |         24 |
| c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\modules\moviePage\MovieAwards\SingleMovieAward\SingleMovieAward.tsx                                                 | TypeScript JSX     |         15 |          0 |          5 |         20 |
| c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\modules\moviePage\MovieDescription\MovieDescription.tsx                                                             | TypeScript JSX     |         13 |          0 |          3 |         16 |
| c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\modules\moviePage\MovieImage\MovieImage.tsx                                                                         | TypeScript JSX     |         18 |          0 |          3 |         21 |
| c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\modules\moviePage\MovieInfo.tsx                                                                                     | TypeScript JSX     |        135 |          0 |         12 |        147 |
| c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\modules\moviePage\MovieMainInfo\MovieMainInfo.tsx                                                                   | TypeScript JSX     |         40 |          0 |          4 |         44 |
| c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\modules\moviePage\MoviePageSkeleton\MovieImageSkeleton\MovieImageSkeleton.tsx                                       | TypeScript JSX     |          8 |          0 |          2 |         10 |
| c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\modules\moviePage\MoviePageSkeleton\MovieInfoSkeleton\MovieInfoSkeleton.tsx                                         | TypeScript JSX     |          9 |          0 |          2 |         11 |
| c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\modules\moviePage\MoviePageSkeleton\MoviePageSkeleton.tsx                                                           | TypeScript JSX     |         12 |          0 |          2 |         14 |
| c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\modules\moviePage\MovieRatings\MovieRatings.tsx                                                                     | TypeScript JSX     |         43 |          0 |          3 |         46 |
| c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\modules\moviePage\SimilarMovies\SimilarMovies.tsx                                                                   | TypeScript JSX     |         27 |          0 |          6 |         33 |
| c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\modules\moviePage\SimilarMovies\SingleSimilarMovie\SingleSimilarMovie.tsx                                           | TypeScript JSX     |         29 |          0 |          5 |         34 |
| c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\modules\movies\MoviesList\MoviesList.tsx                                                                            | TypeScript JSX     |         32 |          0 |          4 |         36 |
| c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\modules\movies\schemas\useGetAllPopularMovies.schema.ts                                                             | TypeScript         |         18 |          0 |          2 |         20 |
| c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\modules\movies\schemas\useGetMovie.schema.ts                                                                        | TypeScript         |         71 |          0 |          6 |         77 |
| c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\modules\movies\schemas\useGetMoviesByTitle.schema.ts                                                                | TypeScript         |         15 |          0 |          4 |         19 |
| c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\modules\movies\useGetAllPopularMoviesIDPoster\apiUseGetAllPopularMoviesIDPoster.ts                                  | TypeScript         |         19 |          0 |          4 |         23 |
| c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\modules\movies\useGetAllPopularMoviesIDPoster\hooks\useGetAllPopularMoviesIDPoster.ts                               | TypeScript         |          9 |          0 |          2 |         11 |
| c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\modules\movies\useGetAllPopularMovies\apiUseGetAllPopularMovies.ts                                                  | TypeScript         |         12 |          0 |          5 |         17 |
| c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\modules\movies\useGetAllPopularMovies\hooks\useGetAllPopularMovies.ts                                               | TypeScript         |          9 |          0 |          2 |         11 |
| c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\modules\movies\useGetLimitedPopularMoviesIDPoster\apiUseGetLimitedPopularMoviesIDPoster.ts                          | TypeScript         |         20 |          0 |          6 |         26 |
| c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\modules\movies\useGetLimitedPopularMoviesIDPoster\useGetLimitedPopularMoviesIDPoster.ts                             | TypeScript         |          9 |          0 |          2 |         11 |
| c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\modules\movies\useGetMovieById\apiUseGetMovieById.ts                                                                | TypeScript         |         13 |          0 |          4 |         17 |
| c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\modules\movies\useGetMovieById\useGetMovieById.ts                                                                   | TypeScript         |          9 |          0 |          2 |         11 |
| c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\modules\movies\useGetMoviesByTitle\apiUseGetMoviesByTitle.ts                                                        | TypeScript         |         22 |          0 |          5 |         27 |
| c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\modules\movies\useGetMoviesByTitle\useGetMoviesByTitle.ts                                                           | TypeScript         |          9 |          0 |          2 |         11 |
| c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\modules\navigation\hooks\useQueryString\useQueryString.ts                                                           | TypeScript         |         25 |          0 |          7 |         32 |
| c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\modules\navigation\hooks\useRouteChanged\useRouteChanged.tsx                                                        | TypeScript JSX     |         12 |          0 |          4 |         16 |
| c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\modules\reviewCreatorPage\RatingButton\RatingButton.tsx                                                             | TypeScript JSX     |         24 |          0 |          4 |         28 |
| c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\modules\reviewCreatorPage\ReviewCreator\ReviewCreator.tsx                                                           | TypeScript JSX     |         90 |          0 |          8 |         98 |
| c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\modules\reviewCreatorPage\ReviewCreator\ReviewCreatorSkeleton\ReviewCreatorSkeleton.tsx                             | TypeScript JSX     |          9 |          0 |          2 |         11 |
| c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\modules\reviews\hooks\reviewsSchema.schema.ts                                                                       | TypeScript         |         10 |          0 |          3 |         13 |
| c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\modules\reviews\hooks\useCreateMovieReview\apiCreateMovieReview.ts                                                  | TypeScript         |         35 |          0 |          6 |         41 |
| c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\modules\reviews\hooks\useCreateMovieReview\useCreateMovieReview.ts                                                  | TypeScript         |         28 |          0 |          4 |         32 |
| c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\modules\reviews\hooks\useDeleteMovieReview\apiUseDeleteMovieReview.ts                                               | TypeScript         |         12 |          0 |          4 |         16 |
| c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\modules\reviews\hooks\useDeleteMovieReview\useDeleteMovieReview.ts                                                  | TypeScript         |         19 |          0 |          3 |         22 |
| c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\modules\reviews\hooks\useGetLatestReviews\apiUseGetLatesReviews.ts                                                  | TypeScript         |         14 |          0 |          5 |         19 |
| c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\modules\reviews\hooks\useGetLatestReviews\useGetLatestReviews.ts                                                    | TypeScript         |          9 |          0 |          2 |         11 |
| c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\modules\reviews\hooks\useGetMovieAppReviewInfo\apiUseGetMovieAppReviewInfo.ts                                       | TypeScript         |         22 |          0 |          7 |         29 |
| c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\modules\reviews\hooks\useGetMovieAppReviewInfo\useGetMovieAppReviewInfo.ts                                          | TypeScript         |          9 |          0 |          2 |         11 |
| c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\modules\reviews\hooks\useGetReviewsByUserId\apiUseGetReviewsByUserId.ts                                             | TypeScript         |         16 |          0 |          4 |         20 |
| c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\modules\reviews\hooks\useGetReviewsByUserId\useGetReviewsByUserId.ts                                                | TypeScript         |          9 |          0 |          2 |         11 |
| c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\modules\reviews\utils\formatDate.ts                                                                                 | TypeScript         |         15 |          0 |          4 |         19 |
| c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\modules\ui\Button\BaseButton\BaseButton.tsx                                                                         | TypeScript JSX     |         61 |          0 |          8 |         69 |
| c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\modules\ui\Button\Button.tsx                                                                                        | TypeScript JSX     |         16 |          0 |          4 |         20 |
| c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\modules\ui\Button\Link.tsx                                                                                          | TypeScript JSX     |         12 |          0 |          3 |         15 |
| c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\modules\ui\ErrorMessage\ErrorMessage.tsx                                                                            | TypeScript JSX     |         15 |          0 |          3 |         18 |
| c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\modules\ui\GoBackButton\GoBackButton.tsx                                                                            | TypeScript JSX     |         16 |          0 |          4 |         20 |
| c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\modules\ui\Modal\Modal.tsx                                                                                          | TypeScript JSX     |         61 |          0 |          4 |         65 |
| c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\modules\ui\Modal\useDisclosure\useDisclosure.ts                                                                     | TypeScript         |         17 |          0 |          3 |         20 |
| c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\modules\ui\ReviewPreview\ReviewPreview.tsx                                                                          | TypeScript JSX     |         67 |          0 |          6 |         73 |
| c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\modules\ui\ReviewPreview\ReviewPreviewSkeleton\ReviewPreviewSkeleton.tsx                                            | TypeScript JSX     |          4 |          0 |          2 |          6 |
| c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\modules\ui\Text\Text.tsx                                                                                            | TypeScript JSX     |         26 |          0 |          7 |         33 |
| c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\modules\ui\UnauthorizedBox\UnauthorizedBox.tsx                                                                      | TypeScript JSX     |         16 |          0 |          2 |         18 |
| c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\modules\users\hooks\useLogin\apiUseLogin.ts                                                                         | TypeScript         |         14 |          0 |          4 |         18 |
| c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\modules\users\hooks\useLogin\useLogin.ts                                                                            | TypeScript         |         23 |          0 |          3 |         26 |
| c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\modules\users\hooks\useLogout\apiUseLogout.ts                                                                       | TypeScript         |          6 |          0 |          3 |          9 |
| c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\modules\users\hooks\useLogout\useLogout.ts                                                                          | TypeScript         |         21 |          0 |          3 |         24 |
| c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\modules\users\hooks\useSignup\apiUseSignup.ts                                                                       | TypeScript         |         23 |          0 |          5 |         28 |
| c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\modules\users\hooks\useSignup\useSignup.ts                                                                          | TypeScript         |         28 |          0 |          4 |         32 |
| c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\modules\users\hooks\useUser\useUser.ts                                                                              | TypeScript         |          8 |          0 |          2 |         10 |
| c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\modules\users\utils\getCurrentUser\getCurrentUser.ts                                                                | TypeScript         |          8 |          0 |          2 |         10 |
| c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\next.config.js                                                                                                      | JavaScript         |          9 |          1 |          1 |         11 |
| c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\package-lock.json                                                                                                   | JSON               |      9,177 |          0 |          1 |      9,178 |
| c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\package.json                                                                                                        | JSON               |         46 |          0 |          1 |         47 |
| c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\postcss.config.js                                                                                                   | JavaScript         |          6 |          0 |          1 |          7 |
| c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\services\supabase.mjs                                                                                               | JavaScript         |          6 |          0 |          1 |          7 |
| c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\tailwind.config.ts                                                                                                  | TypeScript         |         24 |          1 |          1 |         26 |
| c:\Users\Bartuś\Desktop\repos\moviesapptest\movies-app\movies-app\tsconfig.json                                                                                                       | JSON with Comments |         27 |          0 |          1 |         28 |
| Total                                                                                                                                                                                 |                    |     12,805 |          3 |        579 |     13,387 |
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
